task,real,mixed,fake
Task-1 (O→S),0.8020833333333334,0.8556701030927835,0.6728971962616822
Task-2 (S→O),0.8125,0.8829787234042553,0.7818181818181819
Task-3 (O→O across),0.82,0.8773584905660378,0.776595744680851
Task-4 (S→S across),0.8055555555555556,0.8349514563106796,0.7191011235955056
