layer,position,log_prob_delta,ex_idx
73,s2_in_r1,0.0,0
73,o2_in_r1,0.0,0
73,s1_in_r2,0.0,0
73,o3_in_r2,0.0,0
73,s2_in_r2,0.0,0
73,o4_in_r2,0.0,0
73,s1_in_cue,0.0,0
73,o1_in_cue,0.0,0
73,s2_in_cue,0.0,0
73,analogy_site,0.0,0
74,s1_in_r1,0.0,0
74,o1_in_r1,0.0,0
74,s2_in_r1,0.0,0
74,o2_in_r1,0.0,0
74,s1_in_r2,0.0,0
74,o3_in_r2,0.0,0
74,s2_in_r2,0.0,0
74,o4_in_r2,0.0,0
74,s1_in_cue,0.0,0
74,o1_in_cue,0.0,0
74,s2_in_cue,0.0,0
74,analogy_site,0.0,0
75,s1_in_r1,0.0,0
75,o1_in_r1,0.0,0
75,s2_in_r1,0.0,0
75,o2_in_r1,0.0,0
75,s1_in_r2,0.0,0
75,o3_in_r2,0.0,0
75,s2_in_r2,0.0,0
75,o4_in_r2,0.0,0
75,s1_in_cue,0.0,0
75,o1_in_cue,0.0,0
75,s2_in_cue,0.0,0
75,analogy_site,0.0,0
76,s1_in_r1,0.0,0
76,o1_in_r1,0.0,0
76,s2_in_r1,0.0,0
76,o2_in_r1,0.0,0
76,s1_in_r2,0.0,0
76,o3_in_r2,0.0,0
76,s2_in_r2,0.0,0
76,o4_in_r2,0.0,0
76,s1_in_cue,0.0,0
76,o1_in_cue,0.0,0
76,s2_in_cue,0.0,0
76,analogy_site,0.0,0
77,s1_in_r1,0.0,0
77,o1_in_r1,0.0,0
77,s2_in_r1,0.0,0
77,o2_in_r1,0.0,0
77,s1_in_r2,0.0,0
77,o3_in_r2,0.0,0
77,s2_in_r2,0.0,0
77,o4_in_r2,0.0,0
77,s1_in_cue,0.0,0
77,o1_in_cue,0.0,0
77,s2_in_cue,0.0,0
77,analogy_site,0.0,0
78,s1_in_r1,0.0,0
78,o1_in_r1,0.0,0
78,s2_in_r1,0.0,0
78,o2_in_r1,0.0,0
78,s1_in_r2,0.0,0
78,o3_in_r2,0.0,0
78,s2_in_r2,0.0,0
78,o4_in_r2,0.0,0
78,s1_in_cue,0.0,0
78,o1_in_cue,0.0,0
78,s2_in_cue,0.0,0
78,analogy_site,0.0,0
79,s1_in_r1,0.0,0
79,o1_in_r1,0.0,0
79,s2_in_r1,0.0,0
79,o2_in_r1,0.0,0
79,s1_in_r2,0.0,0
79,o3_in_r2,0.0,0
79,s2_in_r2,0.0,0
79,o4_in_r2,0.0,0
79,s1_in_cue,0.0,0
79,o1_in_cue,0.0,0
79,s2_in_cue,0.0,0
79,analogy_site,0.0,0
