layer,position,log_prob_delta,ex_idx
16,s1_in_cue,0.0,0
16,o1_in_cue,0.0,0
16,s2_in_cue,0.0,0
16,analogy_site,0.0,0
17,s1_in_r1,0.0,0
17,o1_in_r1,0.0,0
17,s2_in_r1,0.0,0
17,o2_in_r1,0.0,0
17,s1_in_r2,0.0,0
17,o3_in_r2,0.0,0
17,s2_in_r2,0.0,0
17,o4_in_r2,0.0,0
17,s1_in_cue,0.0,0
17,o1_in_cue,0.0,0
17,s2_in_cue,0.0,0
17,analogy_site,0.0,0
18,s1_in_r1,0.0,0
18,o1_in_r1,0.0,0
18,s2_in_r1,0.0,0
18,o2_in_r1,0.0,0
18,s1_in_r2,0.0,0
18,o3_in_r2,0.0,0
18,s2_in_r2,0.0,0
18,o4_in_r2,0.0,0
18,s1_in_cue,0.0,0
18,o1_in_cue,0.0,0
18,s2_in_cue,0.0,0
18,analogy_site,0.0,0
19,s1_in_r1,0.0,0
19,o1_in_r1,0.0,0
19,s2_in_r1,0.0,0
19,o2_in_r1,0.0,0
19,s1_in_r2,0.0,0
19,o3_in_r2,0.0,0
19,s2_in_r2,0.0,0
19,o4_in_r2,0.0,0
19,s1_in_cue,0.0,0
19,o1_in_cue,0.0,0
19,s2_in_cue,0.0,0
19,analogy_site,0.0,0
20,s1_in_r1,0.0,0
20,o1_in_r1,0.0,0
20,s2_in_r1,0.0,0
20,o2_in_r1,0.0,0
20,s1_in_r2,0.0,0
20,o3_in_r2,0.0,0
20,s2_in_r2,0.0,0
20,o4_in_r2,0.0,0
20,s1_in_cue,0.0,0
20,o1_in_cue,0.0,0
20,s2_in_cue,0.0,0
20,analogy_site,0.0,0
21,s1_in_r1,0.0,0
21,o1_in_r1,0.0,0
21,s2_in_r1,0.0,0
21,o2_in_r1,0.0,0
21,s1_in_r2,0.0,0
21,o3_in_r2,0.0,0
21,s2_in_r2,0.0,0
21,o4_in_r2,0.0,0
21,s1_in_cue,0.0,0
21,o1_in_cue,0.0,0
21,s2_in_cue,0.0,0
21,analogy_site,0.0,0
22,s1_in_r1,0.0,0
22,o1_in_r1,0.0,0
22,s2_in_r1,0.0,0
22,o2_in_r1,0.0,0
22,s1_in_r2,0.0,0
22,o3_in_r2,0.0,0
22,s2_in_r2,0.0,0
22,o4_in_r2,0.0,0
22,s1_in_cue,0.0,0
22,o1_in_cue,0.0,0
22,s2_in_cue,0.0,0
22,analogy_site,0.0,0
23,s1_in_r1,0.0,0
23,o1_in_r1,0.0,0
23,s2_in_r1,0.0,0
23,o2_in_r1,0.0,0
23,s1_in_r2,0.0,0
23,o3_in_r2,0.0,0
23,s2_in_r2,0.0,0
23,o4_in_r2,0.0,0
23,s1_in_cue,0.0,0
23,o1_in_cue,0.0,0
23,s2_in_cue,0.0,0
23,analogy_site,0.0,0
24,s1_in_r1,0.0,0
24,o1_in_r1,0.0,0
24,s2_in_r1,0.0,0
24,o2_in_r1,0.0,0
24,s1_in_r2,0.0,0
24,o3_in_r2,0.0,0
24,s2_in_r2,0.0,0
24,o4_in_r2,0.0,0
24,s1_in_cue,0.0,0
24,o1_in_cue,0.0,0
24,s2_in_cue,0.0,0
24,analogy_site,0.0,0
25,s1_in_r1,0.0,0
25,o1_in_r1,0.0,0
25,s2_in_r1,0.0,0
25,o2_in_r1,0.0,0
25,s1_in_r2,0.0,0
25,o3_in_r2,0.0,0
25,s2_in_r2,0.0,0
25,o4_in_r2,0.0,0
25,s1_in_cue,0.0,0
25,o1_in_cue,0.0,0
25,s2_in_cue,0.0,0
25,analogy_site,0.0,0
26,s1_in_r1,0.0,0
26,o1_in_r1,0.0,0
26,s2_in_r1,0.0,0
26,o2_in_r1,0.0,0
26,s1_in_r2,0.0,0
26,o3_in_r2,0.0,0
26,s2_in_r2,0.0,0
26,o4_in_r2,0.0,0
26,s1_in_cue,0.0,0
26,o1_in_cue,0.0,0
26,s2_in_cue,0.0,0
26,analogy_site,0.0,0
27,s1_in_r1,0.0,0
27,o1_in_r1,0.0,0
27,s2_in_r1,0.0,0
27,o2_in_r1,0.0,0
27,s1_in_r2,0.0,0
27,o3_in_r2,0.0,0
27,s2_in_r2,0.0,0
27,o4_in_r2,0.0,0
27,s1_in_cue,0.0,0
27,o1_in_cue,0.0,0
27,s2_in_cue,0.0,0
27,analogy_site,0.0,0
28,s1_in_r1,0.0,0
28,o1_in_r1,0.0,0
28,s2_in_r1,0.0,0
28,o2_in_r1,0.0,0
28,s1_in_r2,0.0,0
28,o3_in_r2,0.0,0
28,s2_in_r2,0.0,0
28,o4_in_r2,0.0,0
28,s1_in_cue,0.0,0
28,o1_in_cue,0.0,0
28,s2_in_cue,0.0,0
28,analogy_site,0.0,0
29,s1_in_r1,0.0,0
29,o1_in_r1,0.0,0
29,s2_in_r1,0.0,0
29,o2_in_r1,0.0,0
29,s1_in_r2,0.0,0
29,o3_in_r2,0.0,0
29,s2_in_r2,0.0,0
29,o4_in_r2,0.0,0
29,s1_in_cue,0.0,0
29,o1_in_cue,0.0,0
29,s2_in_cue,0.0,0
29,analogy_site,0.0,0
30,s1_in_r1,0.0,0
30,o1_in_r1,0.0,0
30,s2_in_r1,0.0,0
30,o2_in_r1,0.0,0
30,s1_in_r2,0.0,0
30,o3_in_r2,0.0,0
30,s2_in_r2,0.0,0
30,o4_in_r2,0.0,0
30,s1_in_cue,0.0,0
30,o1_in_cue,0.0,0
30,s2_in_cue,0.0,0
30,analogy_site,0.0,0
31,s1_in_r1,0.0,0
31,o1_in_r1,0.0,0
31,s2_in_r1,0.0,0
31,o2_in_r1,0.0,0
